id,name,collection,category,description,image,featured,new_arrival
1,Sankhla,Rajsi,Necklaces,TRADTIONAL,,,
ORIGIN -JAIPUR,,,,,,,
"(RAJASTHAN),assets/products/upload_1776227569382.jpeg,true,true",,,,,,,
2,Antique Necklace,Rajsi,Necklaces,Heavy antique-finish silver necklace from the workshops of Jaipur.,assets/products/upload_1776227622260.jpeg,true,true
3,Antique Necklace,Rajsi,Necklaces,DESIGN -TRADTIONAL,,,
ORIGIN -KUTCHH,,,,,,,
"(GUJARAT),assets/products/upload_1776227654692.jpeg,true,false",,,,,,,
4,Antique Sankhla,Rajsi,Kadas,DESIGN -TRADTIONAL,,,
ORIGIN -JAIPUR,,,,,,,
"(RAJASTHAN),assets/products/upload_1776227703945.jpeg,false,false",,,,,,,
5,Brooch Payal,Rajsi,Payal,Brooch-style payal with traditional Jaipur filigree work.,assets/products/upload_1776227838462.jpeg,false,false
6,Cuban Chain,Veera,Necklaces,Italian-inspired Cuban link chain in sterling silver — crafted in Mumbai.,assets/products/p06.jpeg,true,true
7,Full Kandora,Jhilmil,Payal,Full waist kandora in tribal silver from Rajkot — bold and ceremonial.,assets/products/p07.jpeg,true,true
8,Juda,Jhilmil,Payal,Tribal silver juda pin from Kutch — for the adorned bride.,assets/products/p08.jpeg,false,false
9,Cuban Bracelet,Veera,Bracelets,Cuban-link silver bracelet with Italian casting influence.,assets/products/p09.jpeg,true,false
10,Fancy Bangle,Glamour,Bracelets,CZ-set fancy bangle in sterling silver with Thailand-inspired casting.,assets/products/p10.jpeg,false,false
11,Fancy Necklace,Glamour,Necklaces,Floral-motif fancy necklace in silver with Italian design sensibility.,assets/products/p11.jpeg,true,true
12,Chain Bracelet,Glamour,Bracelets,Delicate chain bracelet in sterling silver with CZ detailing.,assets/products/p12.jpeg,false,false
13,Bridal Antique Payal,Rajsi,Payal,Bridal-weight antique silver payal — crafted for the forever occasion.,assets/products/p13.jpeg,true,false
14,Bridal Antique Payal,Rajsi,Payal,Heavy bridal sankhla in antique Rajasthani silver.,assets/products/p14.jpeg,false,false
15,Stone Ring,Glamour,Rings,CZ cocktail ring in sterling silver — bold and contemporary.,assets/products/p15.jpeg,false,true
16,Antique Sankhla,Rajsi,Payal,Heavy antique sankhla from Jaipur with intricate hand-engraving.,assets/products/p16.jpeg,false,false
17,Punjabi Kada,Veera,Kadas,Solid Punjabi men's kada in sterling silver — a statement of heritage.,assets/products/p17.jpeg,true,true
18,Plain Mens Kada,Veera,Kadas,Clean-line men's kada in hallmarked sterling silver.,assets/products/p18.jpeg,false,false
19,Bridal Payal,Jhilmil,Payal,Tribal bridal payal from Rajkot with layered silver links.,assets/products/p19.jpeg,false,false
20,Bridal Payal,Jhilmil,Payal,Full-length bridal payal in Jhilmil tribal silver tradition.,assets/products/p20.jpeg,true,false
21,Hasli,Glamour,Necklaces,Collar-style hasli in sterling silver with a contemporary finish.,assets/products/p21.jpeg,false,true
22,Antique Necklace,Rajsi,Necklaces,Traditional Rajasthani antique necklace in sterling silver.,assets/products/p22.jpeg,false,false
23,Snake Chain,Veera,Necklaces,Sleek snake chain in sterling silver — versatile and modern.,assets/products/p23.jpeg,false,true
24,Stone Ring,Glamour,Rings,Statement CZ stone ring in sterling silver.,assets/products/p24.jpeg,false,false
25,Punjabi Kada,Veera,Kadas,Heavy-gauge Punjabi kada in hallmarked sterling silver.,assets/products/p25.jpeg,false,false
26,Cuff Mens Kada,Rajsi,Kadas,Cuff-style men's kada with antique Rajasthani engraving.,assets/products/p26.jpeg,false,false
27,Mens Kada,Veera,Kadas,Classic men's kada in sterling silver with a clean profile.,assets/products/p27.jpeg,false,false
28,Antique Necklace,Rajsi,Necklaces,Oxidised antique silver necklace — traditional Rajasthani craftsmanship.,assets/products/p28.jpeg,false,false
33,Antique Necklace,Rajsi,Necklaces,Hand-crafted antique silver necklace from Udaipur.,assets/products/p33.jpeg,false,false
36,Antique Juda,Rajsi,Payal,Ornate antique juda in silver from Kutchh.,assets/products/p36.jpeg,false,false
37,Antique Sankhla,Rajsi,Payal,Antique sankhla with detailed filigree from Jaipur.,assets/products/p37.jpeg,false,false
38,Cocktail Ring,Rajsi,Rings,Tribal-design cocktail ring in sterling silver.,assets/products/p38.jpeg,false,true
39,Cuban Chain,Veera,Necklaces,Heavy-gauge Cuban link chain in sterling silver.,assets/products/p39.jpeg,false,false
40,Half Kandora,Jhilmil,Payal,Half-waist kandora in tribal silver from Rajkot.,assets/products/p40.jpeg,true,true
41,Brooch Payal,Jhilmil,Payal,Filigree brooch payal in tribal silver from Rajkot.,assets/products/p41.jpeg,false,false
42,Fancy Juda,Jhilmil,Payal,Tribal fancy juda pin in silver from Kutch.,assets/products/p42.jpeg,false,false
43,Fancy Juda,Jhilmil,Payal,Silver fancy juda with intricate tribal detailing from Kutch.,assets/products/p43.jpeg,false,false
44,Fancy Chain,Glamour,Necklaces,Fancy link chain in sterling silver with contemporary Italian design.,assets/products/p44.jpeg,false,false
45,Fancy Necklace,Glamour,Necklaces,Floral fancy necklace in sterling silver — Italian inspired.,assets/products/p45.jpeg,true,true
46,Fancy Necklace,Glamour,Necklaces,Contemporary silver necklace with decorative motifs.,assets/products/p46.jpeg,false,false
